algorithm,epsilon,L1error
CH,0.01,0.763303477280151
CH,0.021544346900318832,0.593186342691429
CH,0.046415888336127774,0.5148904587978733
CH,0.1,0.4538824146813555
CH,0.21544346900318834,0.44114837226176407
CH,0.46415888336127775,0.4124906348151819
CH,1.0,0.39681002644989466
CH,2.154434690031882,0.3850930346003748
CH,4.6415888336127775,0.379506712397694
CH,10.0,0.376830889873719
toH,0.01,0.6255844199934234
toH,0.021544346900318832,0.3960601135886436
toH,0.046415888336127774,0.3500885300733135
toH,0.1,0.3165197336624134
toH,0.21544346900318834,0.26448582985910263
toH,0.46415888336127775,0.27551220751724376
toH,1.0,0.24990628765328154
toH,2.154434690031882,0.21221826663469057
toH,4.6415888336127775,0.1979161358695852
toH,10.0,0.1833789057835322
NL,0.01,1.2124988400355445
NL,0.021544346900318832,0.8034253997070827
NL,0.046415888336127774,0.46153416406732484
NL,0.1,0.31133998922577283
NL,0.21544346900318834,0.1614522393427429
NL,0.46415888336127775,0.09010276163010329
NL,1.0,0.052515825450940204
NL,2.154434690031882,0.029266456112242812
NL,4.6415888336127775,0.016700026031725376
NL,10.0,0.009715910064183916
